Outcome Variable,Exposure Variable,Interactive Variable,Current Lag,Confounding Variables,Equation 1,Equation 2,QAIC of Equation 1,QAIC of Equation 2
All,SPMout,suhiout,1,[],All ~ SPMout_1,All ~ SPMout_1:factor(suhiout_1) + SPMout_1,15196.0,15149.0
All,SPMout,suhiout,1,['Tave'],"All ~ SPMout_1 + ns(Tave, df=5)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5)",15161.0,15098.0
All,SPMout,suhiout,1,['RHave'],All ~ SPMout_1 + RHave,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave,15155.0,15101.0
All,SPMout,suhiout,1,['dow'],All ~ SPMout_1 + factor(dow),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow),15199.0,15152.0
All,SPMout,suhiout,1,['doy'],"All ~ SPMout_1 + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year)",13829.0,13831.0
All,SPMout,suhiout,1,['ad'],All ~ SPMout_1 + factor(ad),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(ad),15197.0,15149.0
All,SPMout,suhiout,1,['holiday'],All ~ SPMout_1 + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(holiday),15199.0,15152.0
All,SPMout,suhiout,1,['Tave_ma20'],All ~ SPMout_1 + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + Tave_ma20,14874.0,14847.0
All,SPMout,suhiout,1,"['Tave', 'RHave']","All ~ SPMout_1 + ns(Tave, df=5) + RHave","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave",15145.0,15081.0
All,SPMout,suhiout,1,"['Tave', 'dow']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow)",15162.0,15099.0
All,SPMout,suhiout,1,"['Tave', 'doy']","All ~ SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year)",13818.0,13822.0
All,SPMout,suhiout,1,"['Tave', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(ad)",15163.0,15100.0
All,SPMout,suhiout,1,"['Tave', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(holiday)",15164.0,15102.0
All,SPMout,suhiout,1,"['Tave', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + Tave_ma20",14862.0,14826.0
All,SPMout,suhiout,1,"['RHave', 'dow']",All ~ SPMout_1 + RHave + factor(dow),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow),15157.0,15104.0
All,SPMout,suhiout,1,"['RHave', 'doy']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year)",13810.0,13812.0
All,SPMout,suhiout,1,"['RHave', 'ad']",All ~ SPMout_1 + RHave + factor(ad),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(ad),15153.0,15099.0
All,SPMout,suhiout,1,"['RHave', 'holiday']",All ~ SPMout_1 + RHave + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(holiday),15157.0,15104.0
All,SPMout,suhiout,1,"['RHave', 'Tave_ma20']",All ~ SPMout_1 + RHave + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + Tave_ma20,14850.0,14818.0
All,SPMout,suhiout,1,"['dow', 'doy']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year)",13822.0,13824.0
All,SPMout,suhiout,1,"['dow', 'ad']",All ~ SPMout_1 + factor(dow) + factor(ad),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(ad),15200.0,15152.0
All,SPMout,suhiout,1,"['dow', 'holiday']",All ~ SPMout_1 + factor(dow) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(holiday),15202.0,15155.0
All,SPMout,suhiout,1,"['dow', 'Tave_ma20']",All ~ SPMout_1 + factor(dow) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + Tave_ma20,14877.0,14850.0
All,SPMout,suhiout,1,"['doy', 'ad']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(ad)",13830.0,13833.0
All,SPMout,suhiout,1,"['doy', 'holiday']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday)",13831.0,13833.0
All,SPMout,suhiout,1,"['doy', 'Tave_ma20']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + Tave_ma20",13588.0,13591.0
All,SPMout,suhiout,1,"['ad', 'holiday']",All ~ SPMout_1 + factor(ad) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(ad) + factor(holiday),15200.0,15152.0
All,SPMout,suhiout,1,"['ad', 'Tave_ma20']",All ~ SPMout_1 + factor(ad) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(ad) + Tave_ma20,14877.0,14849.0
All,SPMout,suhiout,1,"['holiday', 'Tave_ma20']",All ~ SPMout_1 + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(holiday) + Tave_ma20,14877.0,14850.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow)",15146.0,15082.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year)",13813.0,13817.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(ad)",15146.0,15081.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(holiday)",15148.0,15084.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + Tave_ma20",14837.0,14801.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'doy']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year)",13811.0,13814.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(ad)",15165.0,15101.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(holiday)",15165.0,15102.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + Tave_ma20",14863.0,14827.0
All,SPMout,suhiout,1,"['Tave', 'doy', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(ad)",13820.0,13824.0
All,SPMout,suhiout,1,"['Tave', 'doy', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(holiday)",13820.0,13824.0
All,SPMout,suhiout,1,"['Tave', 'doy', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + Tave_ma20",13591.0,13595.0
All,SPMout,suhiout,1,"['Tave', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(ad) + factor(holiday)",15166.0,15104.0
All,SPMout,suhiout,1,"['Tave', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(ad) + Tave_ma20",14865.0,14828.0
All,SPMout,suhiout,1,"['Tave', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(holiday) + Tave_ma20",14865.0,14829.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'doy']","All ~ SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year)",13803.0,13805.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'ad']",All ~ SPMout_1 + RHave + factor(dow) + factor(ad),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + factor(ad),15157.0,15102.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'holiday']",All ~ SPMout_1 + RHave + factor(dow) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + factor(holiday),15160.0,15107.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(dow) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + Tave_ma20,14853.0,14821.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'ad']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad)",13811.0,13813.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'holiday']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(holiday)",13812.0,13814.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'Tave_ma20']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + Tave_ma20",13582.0,13585.0
All,SPMout,suhiout,1,"['RHave', 'ad', 'holiday']",All ~ SPMout_1 + RHave + factor(ad) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(ad) + factor(holiday),15156.0,15102.0
All,SPMout,suhiout,1,"['RHave', 'ad', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(ad) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(ad) + Tave_ma20,14852.0,14819.0
All,SPMout,suhiout,1,"['RHave', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(holiday) + Tave_ma20,14853.0,14821.0
All,SPMout,suhiout,1,"['dow', 'doy', 'ad']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)",13823.0,13825.0
All,SPMout,suhiout,1,"['dow', 'doy', 'holiday']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)",13824.0,13826.0
All,SPMout,suhiout,1,"['dow', 'doy', 'Tave_ma20']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20",13581.0,13584.0
All,SPMout,suhiout,1,"['dow', 'ad', 'holiday']",All ~ SPMout_1 + factor(dow) + factor(ad) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(ad) + factor(holiday),15203.0,15155.0
All,SPMout,suhiout,1,"['dow', 'ad', 'Tave_ma20']",All ~ SPMout_1 + factor(dow) + factor(ad) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(ad) + Tave_ma20,14880.0,14852.0
All,SPMout,suhiout,1,"['dow', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + factor(dow) + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(holiday) + Tave_ma20,14879.0,14853.0
All,SPMout,suhiout,1,"['doy', 'ad', 'holiday']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13832.0,13835.0
All,SPMout,suhiout,1,"['doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13589.0,13592.0
All,SPMout,suhiout,1,"['doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13590.0,13592.0
All,SPMout,suhiout,1,"['ad', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + factor(ad) + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(ad) + factor(holiday) + Tave_ma20,14880.0,14853.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year)",13806.0,13809.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad)",15148.0,15082.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday)",15149.0,15084.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + Tave_ma20",14838.0,14802.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad)",13815.0,13818.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(holiday)",13815.0,13819.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + Tave_ma20",13586.0,13589.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + factor(holiday)",15149.0,15084.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + Tave_ma20",14838.0,14800.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(holiday) + Tave_ma20",14840.0,14804.0
