city,start_year,end_year,start_month,end_month,exposure,interactive,outcome,lag_or_ma,lag,iqr,quantile,rr,cil,ciu,B,se
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,18.745,0,1.0001921780066638,0.999551251792439,1.0008335151917234,0.0001921595428363,0.0003270511463796
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,18.745,1,0.9996364534530904,0.9987367485341492,1.0005369688648291,-0.0003636126459759,0.0004594152758494
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,18.745,2,1.00054527206928,0.9996499117155916,1.001441434373885,0.0005451234624835,0.0004567803537021
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,18.745,3,1.0008089834356615,0.9997985499984298,1.0018204380543418,0.000808656384936,0.0005153802254791
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,18.745,4,1.0008928247583853,0.999827917736363,1.001958866002553,0.0008924264274362,0.0005431342143639
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034668,1.0008086796041116,0.0001640755119917,0.0003287189417897
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.999612113703726,0.998710488146974,1.0005145532387574,-0.0003879615436223,0.0004604076668623
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257217,0.9996543206462096,1.0014460841681718,0.000549650240348,0.0004568396981176
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146395,0.9997951560727704,1.0018173134133137,0.0008053995932969,0.0005154505449479
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269492,1.0019503696255398,0.0008835059442599,0.0005433590557076
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,0,1.0001640889731147,0.9995199135034669,1.0008086796041116,0.00016407551199171407,0.0003287189417897793
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,1,0.9996121137037259,0.9987104881469739,1.0005145532387574,-0.0003879615436223477,0.00046040766686232336
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,2,1.0005498013257215,0.9996543206462096,1.0014460841681718,0.0005496502403480225,0.00045683969811761234
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,3,1.0008057240146397,0.9997951560727703,1.0018173134133137,0.0008053995932969095,0.0005154505449479475
Fukuoka,1989,2014,2,4,SPMout,suhiout,All,lag,1,1.0,4,1.0008838963506037,0.9998185582269491,1.0019503696255398,0.000883505944259999,0.0005433590557076819
